read_at,city,shop_id,name,day,hour,weekday,locker_type,free,min_qta,price_1h,status
2026-09-25 14:17,naples,60,Naples Port - Molo Beverello,2026-09-25,15,weekday,Small,9,5,1.49,read
2026-09-25 14:17,naples,60,Naples Port - Molo Beverello,2026-09-25,15,weekday,Standard,27,5,2.49,read
2026-09-25 14:17,naples,60,Naples Port - Molo Beverello,2026-09-25,15,weekday,Maxi,18,5,3.49,read
2026-09-25 15:16,rome,1,Vatican Museums,2026-09-25,16,weekday,Small,19,5,3.49,read
2026-09-25 15:16,rome,1,Vatican Museums,2026-09-25,16,weekday,Standard,4,1,2.49,read
2026-09-25 15:16,rome,1,Vatican Museums,2026-09-25,16,weekday,Maxi,19,5,3.49,read
2026-09-25 15:16,milan,3,Milano Centrale Train Station,2026-09-25,16,weekday,Small,12,5,1.49,read
2026-09-25 15:16,milan,3,Milano Centrale Train Station,2026-09-25,16,weekday,Standard,30,5,2.49,read
2026-09-25 15:16,milan,3,Milano Centrale Train Station,2026-09-25,16,weekday,Maxi,17,5,3.49,read
2026-09-25 15:16,rome,4,Spanish Steps District,2026-09-25,16,weekday,Small,8,5,3.49,read
2026-09-25 15:16,rome,4,Spanish Steps District,2026-09-25,16,weekday,Standard,0,0,2.49,read
2026-09-25 15:16,rome,4,Spanish Steps District,2026-09-25,16,weekday,Maxi,8,5,3.49,read
2026-09-25 15:16,florence,5,Uffizi District,2026-09-25,16,weekday,Small,14,5,3.49,read
2026-09-25 15:16,florence,5,Uffizi District,2026-09-25,16,weekday,Standard,4,4,2.49,read
2026-09-25 15:16,florence,5,Uffizi District,2026-09-25,16,weekday,Maxi,14,5,3.49,read
2026-09-25 15:16,rome,2,City Center | Termini Station,2026-09-25,16,weekday,Small,3,3,1.49,read
2026-09-25 15:16,rome,2,City Center | Termini Station,2026-09-25,16,weekday,Standard,7,5,2.49,read
2026-09-25 15:16,rome,2,City Center | Termini Station,2026-09-25,16,weekday,Maxi,4,0,2.99,read
2026-09-25 15:16,florence,6,City Center |  Florence Station,2026-09-25,16,weekday,Small,9,4,3.49,read
2026-09-25 15:16,florence,6,City Center |  Florence Station,2026-09-25,16,weekday,Standard,4,4,2.49,read
2026-09-25 15:16,florence,6,City Center |  Florence Station,2026-09-25,16,weekday,Maxi,9,4,3.49,read
2026-09-25 15:16,naples,7,Naples Centrale Train Station,2026-09-25,16,weekday,Small,8,5,3.49,read
2026-09-25 15:16,naples,7,Naples Centrale Train Station,2026-09-25,16,weekday,Standard,0,0,2.49,read
2026-09-25 15:16,naples,7,Naples Centrale Train Station,2026-09-25,16,weekday,Maxi,8,5,3.49,read
2026-09-25 15:16,venice,8,City Center | Rialto District,2026-09-25,16,weekday,Small,14,5,2.99,read
2026-09-25 15:16,venice,8,City Center | Rialto District,2026-09-25,16,weekday,Standard,14,5,2.99,read
2026-09-25 15:16,venice,8,City Center | Rialto District,2026-09-25,16,weekday,Maxi,14,5,2.99,read
2026-09-25 15:16,venice,9,Santa Lucia Train Station,2026-09-25,16,weekday,Small,10,5,3.49,read
2026-09-25 15:16,venice,9,Santa Lucia Train Station,2026-09-25,16,weekday,Standard,5,5,2.49,read
2026-09-25 15:16,venice,9,Santa Lucia Train Station,2026-09-25,16,weekday,Maxi,10,5,3.49,read
2026-09-25 15:16,catania,10,Via Etnea | Bellini Theater,2026-09-25,16,weekday,Small,9,5,2.99,read
2026-09-25 15:16,catania,10,Via Etnea | Bellini Theater,2026-09-25,16,weekday,Standard,13,5,2.49,read
2026-09-25 15:16,catania,10,Via Etnea | Bellini Theater,2026-09-25,16,weekday,Maxi,9,5,2.99,read
2026-09-25 15:16,pisa,13,City Center | Pisa Station,2026-09-25,16,weekday,Small,4,2,3.49,read
2026-09-25 15:16,pisa,13,City Center | Pisa Station,2026-09-25,16,weekday,Standard,4,4,2.49,read
2026-09-25 15:16,pisa,13,City Center | Pisa Station,2026-09-25,16,weekday,Maxi,4,2,3.49,read
2026-09-25 15:16,verona,14,Verona Arena,2026-09-25,16,weekday,Small,8,5,3.49,read
2026-09-25 15:16,verona,14,Verona Arena,2026-09-25,16,weekday,Standard,8,5,2.49,read
2026-09-25 15:16,verona,14,Verona Arena,2026-09-25,16,weekday,Maxi,8,5,3.49,read
2026-09-25 15:16,turin,17,Turin Porta Nuova Train Station,2026-09-25,16,weekday,Small,9,5,3.49,read
2026-09-25 15:16,turin,17,Turin Porta Nuova Train Station,2026-09-25,16,weekday,Standard,0,0,2.49,read
2026-09-25 15:16,turin,17,Turin Porta Nuova Train Station,2026-09-25,16,weekday,Maxi,9,5,3.49,read
2026-09-25 15:16,bari,18,Bari Centrale Train Station,2026-09-25,16,weekday,Small,1,1,1.49,read
2026-09-25 15:16,bari,18,Bari Centrale Train Station,2026-09-25,16,weekday,Standard,0,0,2.49,read
2026-09-25 15:16,bari,18,Bari Centrale Train Station,2026-09-25,16,weekday,Maxi,15,5,3.49,read
2026-09-25 15:16,rome,21,Colosseum,2026-09-25,16,weekday,Small,16,5,3.49,read
2026-09-25 15:16,rome,21,Colosseum,2026-09-25,16,weekday,Standard,4,4,2.49,read
2026-09-25 15:16,rome,21,Colosseum,2026-09-25,16,weekday,Maxi,16,5,3.49,read
2026-09-25 15:16,rome,22,Trastevere,2026-09-25,16,weekday,Small,9,5,2.99,read
2026-09-25 15:16,rome,22,Trastevere,2026-09-25,16,weekday,Standard,6,2,2.49,read
2026-09-25 15:16,rome,22,Trastevere,2026-09-25,16,weekday,Maxi,9,5,2.99,read
2026-09-25 15:16,florence,24,Florence SMN Train Station,2026-09-25,16,weekday,Small,2,2,1.49,read
2026-09-25 15:16,florence,24,Florence SMN Train Station,2026-09-25,16,weekday,Standard,17,5,2.49,read
2026-09-25 15:16,florence,24,Florence SMN Train Station,2026-09-25,16,weekday,Maxi,5,5,3.49,read
2026-09-25 15:16,genoa,25,Genoa Piazza Principe Train Station,2026-09-25,16,weekday,Small,6,5,3.49,read
2026-09-25 15:16,genoa,25,Genoa Piazza Principe Train Station,2026-09-25,16,weekday,Standard,7,5,2.49,read
2026-09-25 15:16,genoa,25,Genoa Piazza Principe Train Station,2026-09-25,16,weekday,Maxi,6,5,3.49,read
2026-09-25 15:16,palermo,26,City Center | Massimo Theater,2026-09-25,16,weekday,Small,13,5,2.99,read
2026-09-25 15:16,palermo,26,City Center | Massimo Theater,2026-09-25,16,weekday,Standard,13,5,2.49,read
2026-09-25 15:16,palermo,26,City Center | Massimo Theater,2026-09-25,16,weekday,Maxi,13,5,2.99,read
2026-09-25 15:16,rome,31,Termini Train Station,2026-09-25,16,weekday,Small,2,2,1.49,read
2026-09-25 15:16,rome,31,Termini Train Station,2026-09-25,16,weekday,Standard,3,3,2.49,read
2026-09-25 15:16,rome,31,Termini Train Station,2026-09-25,16,weekday,Maxi,0,0,3.49,read
2026-09-25 15:16,bologna,32,Bologna Centrale Train Station,2026-09-25,16,weekday,Small,9,5,1.49,read
2026-09-25 15:16,bologna,32,Bologna Centrale Train Station,2026-09-25,16,weekday,Standard,11,5,2.49,read
2026-09-25 15:16,bologna,32,Bologna Centrale Train Station,2026-09-25,16,weekday,Maxi,15,5,3.49,read
2026-09-25 15:16,milan,36,Cadorna Train Station,2026-09-25,16,weekday,Small,15,5,1.49,read
2026-09-25 15:16,milan,36,Cadorna Train Station,2026-09-25,16,weekday,Standard,5,5,2.49,read
2026-09-25 15:16,milan,36,Cadorna Train Station,2026-09-25,16,weekday,Maxi,3,3,3.49,read
2026-09-25 15:16,siena,38,Piazza del Campo,2026-09-25,16,weekday,Small,5,5,1.49,read
2026-09-25 15:16,siena,38,Piazza del Campo,2026-09-25,16,weekday,Standard,28,5,2.49,read
2026-09-25 15:16,siena,38,Piazza del Campo,2026-09-25,16,weekday,Maxi,21,5,3.49,read
2026-09-25 15:16,brescia,40,Brescia Train Station,2026-09-25,16,weekday,Small,2,2,1.49,read
2026-09-25 15:16,brescia,40,Brescia Train Station,2026-09-25,16,weekday,Standard,16,5,2.49,read
2026-09-25 15:16,brescia,40,Brescia Train Station,2026-09-25,16,weekday,Maxi,11,5,2.99,read
2026-09-25 15:16,pisa,39,Pisa Centrale Train Station,2026-09-25,16,weekday,Small,9,5,1.49,read
2026-09-25 15:16,pisa,39,Pisa Centrale Train Station,2026-09-25,16,weekday,Standard,20,5,2.49,read
2026-09-25 15:16,pisa,39,Pisa Centrale Train Station,2026-09-25,16,weekday,Maxi,13,5,3.49,read
2026-09-25 15:16,rome,37,St. Peter's Basilica,2026-09-25,16,weekday,Small,2,0,1.49,read
2026-09-25 15:16,rome,37,St. Peter's Basilica,2026-09-25,16,weekday,Standard,21,5,2.49,read
2026-09-25 15:16,rome,37,St. Peter's Basilica,2026-09-25,16,weekday,Maxi,14,5,3.49,read
2026-09-25 15:16,milan,47,Duomo District,2026-09-25,16,weekday,Small,1,0,1.49,read
2026-09-25 15:16,milan,47,Duomo District,2026-09-25,16,weekday,Standard,10,5,2.49,read
2026-09-25 15:16,milan,47,Duomo District,2026-09-25,16,weekday,Maxi,8,5,3.49,read
2026-09-25 15:16,bologna,48,Sant'Orsola Hospital,2026-09-25,16,weekday,Small,29,5,0.99,read
2026-09-25 15:16,bologna,48,Sant'Orsola Hospital,2026-09-25,16,weekday,Standard,10,5,1.49,read
2026-09-25 15:16,bologna,48,Sant'Orsola Hospital,2026-09-25,16,weekday,Maxi,10,5,1.49,read
2026-09-25 15:16,venice,51,Rialto Bridge,2026-09-25,16,weekday,Small,11,5,1.49,read
2026-09-25 15:16,venice,51,Rialto Bridge,2026-09-25,16,weekday,Standard,27,5,2.49,read
2026-09-25 15:16,venice,51,Rialto Bridge,2026-09-25,16,weekday,Maxi,22,5,2.99,read
2026-09-25 15:16,parma,50,Parma Train Station,2026-09-25,16,weekday,Small,27,5,2.99,read
2026-09-25 15:16,parma,50,Parma Train Station,2026-09-25,16,weekday,Standard,27,5,2.99,read
2026-09-25 15:16,parma,50,Parma Train Station,2026-09-25,16,weekday,Maxi,27,5,2.99,read
2026-09-25 15:16,bologna,56,Piazza Maggiore | City Center,2026-09-25,16,weekday,Small,20,5,1.49,read
2026-09-25 15:16,bologna,56,Piazza Maggiore | City Center,2026-09-25,16,weekday,Standard,36,5,2.49,read
2026-09-25 15:16,bologna,56,Piazza Maggiore | City Center,2026-09-25,16,weekday,Maxi,30,5,3.49,read
2026-09-25 15:16,milan,59,Porta Garibaldi Train Station,2026-09-25,16,weekday,Small,13,5,1.49,read
2026-09-25 15:16,milan,59,Porta Garibaldi Train Station,2026-09-25,16,weekday,Standard,31,5,2.49,read
