seen_on,city,area,storage_id,name,lat,lng,capacity,is_locker,open_24_7,reviews,rating,price_eur
2026-09-23,rome,piazza-campo-de-fiori,6456888,Luggage Storage near Campo De' Fiori,41.8961484,12.472619,50,False,False,16,4.62,5.0
2026-09-23,rome,piazza-campo-de-fiori,6456886,Luggage Storage Theatre Of Pompey,41.8953412,12.4741158,30,False,False,2,5,5.0
2026-09-23,rome,termini,6456879,Luggage Storage near Terme Di Diocleziano,41.9038501,12.5006074,30,False,False,14,4.77,5.0
2026-09-23,rome,vatican,6456836,Luggage Storage Cipro,41.9076452,12.4503198,40,False,False,29,4.82,5.0
2026-09-23,rome,trastevere,6456815,Luggage Storage Testaccio,41.8804553,12.4732715,25,False,False,7,5,5.0
2026-09-23,rome,trastevere,6456663,Luggage Storage Viale Guglielmo Marconi,41.8686212,12.4677666,20,False,False,12,5,5.0
2026-09-23,rome,flaminio,6456650,Luggage Storage Mancini Bus Station,41.9309987,12.4662628,25,False,False,5,4.67,5.0
2026-09-23,rome,piazza-di-san-pietro-in-vincoli,6456615,Luggage Storage Basilica Of San Pietro In Vincoli,41.8943622,12.4910481,50,False,False,59,4.55,5.0
2026-09-23,rome,trastevere,6456514,Luggage Storage Piazza Testaccio,41.8799343,12.4780683,50,False,False,33,4.74,5.0
2026-09-23,rome,garbatella,6456416,Luggage Storage Roma Ostiense,41.8720495,12.4796574,50,False,False,6,4.43,5.0
2026-09-23,rome,furio-camillo,6456362,Luggage Storage Appio Latino / Satrico,41.87820139999999,12.5055465,30,False,False,25,4.97,5.0
2026-09-23,rome,nomentana,6456311,Luggage Storage Roma Libia,41.9306814,12.5217068,20,False,False,3,5,5.0
2026-09-23,rome,pantheon,6455957,Luggage Storage Spagna Metro Station,41.9042835,12.4828516,35,False,False,136,4.72,5.0
2026-09-23,rome,collatino,6455729,Luggage Storage Casal Bruciato,41.9094364,12.5462512,100,False,False,2,5,1.6
2026-09-23,rome,flaminio,6455550,Luggage Storage The Music Bridge - Armando Trovajoli,41.927445,12.4633754,35,False,False,12,5,5.0
2026-09-23,rome,trastevere,6455283,Luggage Storage near Trastevere Station,41.8742813,12.4661194,30,False,False,42,4.48,5.0
2026-09-23,rome,fiera-di-roma,6455074,Luggage Storage near Viale Dei Colli Portuensi,41.8733631,12.4449343,30,False,False,3,4.75,5.0
2026-09-23,rome,lepanto,6454985,Luggage Storage Roma Flaminio,41.9119666,12.4755164,25,False,False,24,4.67,5.0
2026-09-23,rome,nomentano,6454965,Luggage Storage Viale Ippocrate,41.9066497,12.5168293,30,False,False,11,4.83,5.0
2026-09-23,rome,portuense,6454526,Luggage Storage Circonvallazione Gianicolense,41.8727093,12.4603073,20,False,False,9,4.85,5.0
2026-09-23,rome,prati,6454471,Luggage Storage Viale Giulio Cesare,41.90876249999999,12.456255,40,False,False,143,4.75,5.0
2026-09-23,rome,trastevere,6454401,Luggage Storage Roma Trastevere Railway Station,41.8754177,12.4660528,100,False,False,79,4.87,5.0
2026-09-23,rome,prati,6454260,Luggage Storage Via Visconti,41.907746,12.470362,50,False,False,29,4.94,5.0
2026-09-23,rome,vatican,6454230,Luggage Storage near Vatican City,41.9074192,12.4568592,30,False,False,76,4.74,5.0
2026-09-23,rome,nomentana,6454157,Luggage Storage near Via Antonio Silvani,41.9503216,12.5182028,45,False,False,27,4.95,5.0
2026-09-23,rome,pantheon,6454062,Luggage Storage Corso Vittorio Emanuele II,41.8964935,12.475485,25,False,False,21,4.86,5.0
2026-09-23,rome,baldo-degli-ubaldi-station,6454059,Luggage Storage Cornelia Metro Station,41.8990289,12.4270094,15,False,False,29,4.47,5.0
2026-09-23,rome,repubblica,6454032,Luggage Storage near Palazzo Delle Esposizioni,41.8996506,12.4918506,50,False,False,20,4.65,5.0
2026-09-23,rome,largo-di-torre-argentina,6453995,Luggage Storage Roma Torre Argentina,41.8958538,12.4781661,35,False,False,28,4.78,5.0
2026-09-23,rome,ottaviano,6453839,Luggage Storage Largo Trionfale / Ottaviano,41.9090834,12.4541789,20,False,False,8,4.38,5.0
2026-09-23,rome,quartiere-xii-gianicolense,6453701,Luggage Storage Gianicolense/Ponte Bianco,41.8722033,12.459727,45,False,False,7,4.88,5.0
2026-09-23,rome,navona,6453616,Luggage Storage Piazza Navona,41.8972791,12.4742877,30,False,False,43,4.48,5.0
2026-09-23,rome,laurentina,6453554,Luggage Storage Laurentina/Mercato,41.8113663,12.4846715,30,False,False,2,3.67,1.6
2026-09-23,rome,termini,6453456,Luggage Storage Via Gioberti / Termini,41.8990611,12.5006408,30,False,False,17,4.79,5.0
2026-09-23,rome,termini,6453452,Luggage Storage Acquario Romano,41.8977172,12.503498,100,False,False,57,4.79,5.0
2026-09-23,rome,monti,6453079,Luggage Storage Via Urbana,41.8968833,12.4947145,25,False,False,10,4.91,5.0
2026-09-23,rome,monti,6452826,Luggage Storage Vittorio Emanuele Square,41.8957763,12.5013711,100,False,False,8,4.75,5.0
2026-09-23,rome,santa-maria-maggiore,6452800,Luggage Storage Via Di Santa Maria Maggiore,41.89767459999999,12.4971649,100,False,False,32,4.78,1.6
2026-09-23,rome,termini,6452726,Luggage Storage Gioberti Roma Termini,41.8996524,12.5011135,100,False,False,80,4.44,5.0
2026-09-23,rome,esquilino,6452653,Luggage Storage Basilica Santa Maria Maggiore,41.89766849999999,12.4970979,30,False,False,21,4.45,5.0
2026-09-23,rome,monti,6452651,Luggage Storage Cavour Metro Station,41.896269,12.4951148,25,False,False,13,4.86,5.0
2026-09-23,rome,colosseum,6452635,Luggage Storage near Circus Maximus,41.8878219,12.4841965,40,False,False,5,4.14,5.0
2026-09-23,rome,nomentana,6452632,Luggage Storage Via Di Novella / Trieste,41.92963899999999,12.5117984,10,False,False,0,0,5.0
2026-09-23,rome,parioli,6452625,Luggage Storage near Foro Italico,41.9310802,12.4654776,45,False,False,35,4.66,5.0
2026-09-23,rome,trastevere,6452589,Luggage Storage near Piazza San Cosimato,41.8864129,12.4692422,10,False,False,2,5,5.0
2026-09-23,rome,garbatella,6452580,Luggage Storage near Circonvallazione Ostiense,41.867992,12.4901793,20,False,False,7,4.57,5.0
2026-09-23,rome,manzoni,6452545,Luggage Storage Giardini Piazza Dante,41.8923047,12.5046757,25,False,False,4,4.6,5.0
2026-09-23,rome,vatican,6452534,Luggage Storage Aurelia / Cavalleggeri,41.89991089999999,12.4532247,35,False,False,10,4.7,5.0
2026-09-23,rome,vatican,6452533,Luggage Storage Passeggiata Del Gelsomino,41.89988719999999,12.4529756,10,False,False,7,5,5.0
2026-09-23,rome,st-peter-basilica,6452532,Luggage Storage Porta Cavalleggeri,41.9000385,12.4550335,35,False,False,28,4.75,5.0
2026-09-23,rome,vatican,6452531,Luggage Storage near Via Cipro,41.9067927,12.4448196,20,False,False,7,4.79,5.0
2026-09-23,rome,villa-borghese,6452519,Luggage Storage Via Veneto,41.9074759,12.4895761,35,False,False,20,4.74,5.0
2026-09-23,rome,cavour,6452487,Luggage Storage Roma Via Cavour,41.89654910000001,12.4949963,50,False,False,23,4.68,5.0
2026-09-23,rome,termini,6452486,Luggage Storage near Museo Delle Illusioni,41.8957495,12.5012235,10,False,False,1,5,5.0
2026-09-23,rome,finocchio,6452473,Luggage Storage near Graniti Metro Station,41.8637828,12.6955662,20,False,False,0,0,1.6
2026-09-23,rome,termini,6452450,Luggage Storage Gioberti / Termini Station,41.89967499999999,12.5012483,100,False,False,24,4.88,5.0
